sha256	size	count	paths	top_level_dirs	extensions	basenames	risk_flags	classification	classification_reason
0d395d17a45a96d6b37f43415df92c630898ed7581a99fc0e4c033822722e11c	2281408	2	Duelart/CoinToss_Heads.avi | Manalink3/Program/DuelArt/CoinToss_Heads.avi	Duelart, Manalink3	.avi	CoinToss_Heads.avi	protected-asset-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
8bf54b3c721a3c97b40ec6baeea06ac58179eb98977e118d6eabe39fc4bfecff	2278112	2	Duelart/CoinToss_Tails.avi | Manalink3/Program/DuelArt/CoinToss_Tails.avi	Duelart, Manalink3	.avi	CoinToss_Tails.avi	protected-asset-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
9c778974e7437e4235d3a0ebf87df629c13b2f9bce1ac0dded78d3c63f6c4cfe	2119078	2	Program/statwin/Fire.avi | Statwin/Fire.avi	Program, Statwin	.avi	Fire.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
9f2ea6b29ecfb90d39a72be93e4d3725d8d8328a2603f43a439c62776c1d653d	1920056	2	Mods/Art/_undo/2016_02_12_12_15_32/ShellArt/WinBk_Credits16.bmp | Program/ShellArt/WinBk_Credits16.bmp	Mods, Program	.bmp	WinBk_Credits16.bmp	protected-runtime-dir, runtime-extension, undo-tree	needs-human-policy	Under _undo rollback/staging tree; launcher defines undo folders, so removal needs rollback policy proof.
ad9ee80e0d377e7f1741e48aa0e33c3a8d7bd2873d43045e32bc42812aaa284b	1753088	2	Program/Shandalar.exe | Shandalar.exe	<root>, Program	.exe	Shandalar.exe	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
7dfd520293b975632b1d49e9672f4dad702edf7744e6cfe9950898fafbe8ef05	1718154	2	Program/statwin/U_Amg.avi | Statwin/U_Amg.avi	Program, Statwin	.avi	U_Amg.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
5217ffa7f8c01726998fb4c87a6890745a1e8183c874e11a964126ec6bd46f2e	1675146	2	Program/statwin/U_Djn.avi | Statwin/U_Djn.avi	Program, Statwin	.avi	U_Djn.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
73ca9f0cd79d4d6442dc1f572c04278fd881a5a5b76af51c8392bfff8e448654	1673098	2	Program/statwin/U_Mwz.avi | Statwin/U_Mwz.avi	Program, Statwin	.avi	U_Mwz.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
30d4534a29e6ef16300c27f1cd142f25ab2eae79b2b1ab90cadb282e76e98dfe	1666970	2	Program/statwin/B_Fwz.avi | Statwin/B_Fwz.avi	Program, Statwin	.avi	B_Fwz.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
dcb8efcccd38c44290d7f9c64b1a4354a7ca1421d0f55d29f172ce8674b66e3e	1662874	2	Program/statwin/B_Amg.avi | Statwin/B_Amg.avi	Program, Statwin	.avi	B_Amg.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
b7a2c3c84573ceff38c52af3f4dde84955c96e8c859f65a65688e583a3d1e967	1658762	2	Program/statwin/M_Tsk.avi | Statwin/M_Tsk.avi	Program, Statwin	.avi	M_Tsk.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
1d1baa014175e843184bb3fe09d09fdddea307e7b7b295b3150afab49b1e0031	1652618	2	Program/statwin/W_Amg.avi | Statwin/W_Amg.avi	Program, Statwin	.avi	W_Amg.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
9e0263669ad62f2ba276e70970dec5c4c620c02134a636e4540ecf8c7718a7a8	1648522	2	Program/statwin/U_Wrm.avi | Statwin/U_Wrm.avi	Program, Statwin	.avi	U_Wrm.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
f140d204cfb55fdf238e45dd2c2bbc8ef3e4ae5b42ae4f56911ef86a18d969d2	1640346	2	Program/statwin/B_Djn.avi | Statwin/B_Djn.avi	Program, Statwin	.avi	B_Djn.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
98f5b5bbe8b833fc49138cb6ee50d812170e25c7405effca70afb03e7a1d7b41	1620805	2	Duel.hlp | Manalink3/Program/Duel.hlp	<root>, Manalink3	.hlp	Duel.hlp	none	unknown	No path-level cleanup proof established.
c042524ed4fd5c0ec196c548c747f14169ec1a78cb69077d0508579131fab2a7	1619850	2	Program/statwin/M_Wg.avi | Statwin/M_Wg.avi	Program, Statwin	.avi	M_Wg.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
022314e26002433bbebaeeaace2c19509d5460445e2b7701cae977022ab0854d	1619850	2	Program/statwin/W_Fwz.avi | Statwin/W_Fwz.avi	Program, Statwin	.avi	W_Fwz.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
a3c7c83dc1f53ca2590240873886b9e5b54797e46eeab1d9d2b11d6e17ca3c2a	1619850	2	Program/statwin/W_Kht.avi | Statwin/W_Kht.avi	Program, Statwin	.avi	W_Kht.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
f3ebb2024a9288fc94d77ade75d12ba4fb9b78fa0e822e056011c22e8aae4168	1615770	2	Program/statwin/R_Wrm.avi | Statwin/R_Wrm.avi	Program, Statwin	.avi	R_Wrm.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
e9f45042fe315d8cfa8fa34a8fa44c39254b8b65ec598623944dd1207972af41	1613722	2	Program/statwin/G_Fwz.avi | Statwin/G_Fwz.avi	Program, Statwin	.avi	G_Fwz.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
5fe14a9371c903b8bfe7ec51a044c3b4e0cf5ca8d7dd93888889ce8ec711dcb6	1612038	2	Program/statwin/Grn-Hit.avi | Statwin/Grn-Hit.avi	Program, Statwin	.avi	Grn-Hit.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
13a195d1596d4a06e5357ed93b34ae259ef00d731a513779ccb274b689856d5f	1609626	2	Program/statwin/B_Mwz.avi | Statwin/B_Mwz.avi	Program, Statwin	.avi	B_Mwz.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
295ab5f65cc1de64aee5e5f59a31c7c967bab1196ca0e57b57f981c0d61edff2	1609626	2	Program/statwin/Dg_Uwb.avi | Statwin/Dg_Uwb.avi	Program, Statwin	.avi	Dg_Uwb.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
2234b18d8fab52e8cabc77e187df1284a68617e675cc8bce257b8a8adb21cdc7	1595274	2	Program/statwin/W_Wg.avi | Statwin/W_Wg.avi	Program, Statwin	.avi	W_Wg.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
24cb575e00bb3dbad28e91abb61edc8e6937a3c0a7997b532d850776cb7c3be7	1593242	2	Program/statwin/Dg_Gwr.avi | Statwin/Dg_Gwr.avi	Program, Statwin	.avi	Dg_Gwr.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
aeba13a24bd24b9aa3b48ef83e6f33adc2f7a51cf01de287cf2fc5b3485dab41	1591194	2	Program/statwin/M_Trl.avi | Statwin/M_Trl.avi	Program, Statwin	.avi	M_Trl.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
4ebb6b328cb1e13634bca0b74269769f2b5d67d42659a760f9e27cee4d037e90	1589146	2	Program/statwin/Dg_Bru.avi | Statwin/Dg_Bru.avi	Program, Statwin	.avi	Dg_Bru.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
fcb871c61d07cdc1f55d73cbac57337124c55b797d2f85bd1745fef3ef638cc3	1589130	2	Program/statwin/M_Cen.avi | Statwin/M_Cen.avi	Program, Statwin	.avi	M_Cen.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
a6a8af16621e6ba2defaaeecb5ef1e36fa09e3c6868b47250807a46683ed7ecf	1589130	2	Program/statwin/U_Sft.avi | Statwin/U_Sft.avi	Program, Statwin	.avi	U_Sft.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
a1d30d10d2a159d0f1b6224ac068f3f1d6d29975fc54e6034ddb5c56e578f8e4	1585050	2	Program/statwin/Dg_Rgb.avi | Statwin/Dg_Rgb.avi	Program, Statwin	.avi	Dg_Rgb.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
9274ca584f84b7b3a01ece7035ac034b938ff368f5edea8304e1e6fd06c4632d	1585050	2	Program/statwin/M_Kht.avi | Statwin/M_Kht.avi	Program, Statwin	.avi	M_Kht.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
5b628608bccddddba544a970928ddc0ce3341bb61c532b2c9fd66bd5ad5b7aff	1578890	2	Program/statwin/M_Fng.avi | Statwin/M_Fng.avi	Program, Statwin	.avi	M_Fng.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
02b525573b9382ac809ff5614c93c56335b3d682efa8c51c84b8913730a73d5c	1574810	2	Program/statwin/R_Trl.avi | Statwin/R_Trl.avi	Program, Statwin	.avi	R_Trl.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
edc6a081e621fb3d7d4613a160dedddc7ffd2518b584bf02add0c58599654137	1574794	2	Program/statwin/W_Mwz.avi | Statwin/W_Mwz.avi	Program, Statwin	.avi	W_Mwz.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
03cb66d01ad280e5a06da22427011b6266daab7921fe1f05a761d57280b6a54f	1570698	2	Program/statwin/M_Fwz.avi | Statwin/M_Fwz.avi	Program, Statwin	.avi	M_Fwz.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
c495a1ca2363415d20b28e90bad604cae45826f1bb7cf4cc2d1e0dfa24bc9cb8	1566618	2	Program/statwin/R_Lrd.avi | Statwin/R_Lrd.avi	Program, Statwin	.avi	R_Lrd.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
48523a7a18cb6e732b8e742fb4096568a466c92e9900982f6e203db477d4d6b3	1552282	2	Program/statwin/M_Ape.avi | Statwin/M_Ape.avi	Program, Statwin	.avi	M_Ape.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
ee688992105bff2d24ba7ac698dcbaf9652df8d7583b9b9c00a0d00578fc95dc	1546138	2	Program/statwin/B_Wg.avi | Statwin/B_Wg.avi	Program, Statwin	.avi	B_Wg.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
0ddf7e02d41d2a8a8f348136332ee5180f7a83061a66e5b7a980cabf943182df	1546138	2	Program/statwin/R_Fwz.avi | Statwin/R_Fwz.avi	Program, Statwin	.avi	R_Fwz.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
733cd82c0bc0adb474d38a8615ad7eb9b94727edc1c29d705c3f02628c98c8ef	1544090	2	Program/statwin/M_Lrd.avi | Statwin/M_Lrd.avi	Program, Statwin	.avi	M_Lrd.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
1a81ab2141e297640a46a5d480e7bf51a27ab8b974f0baa5f91faae7ec212144	1544090	2	Program/statwin/R_Djn.avi | Statwin/R_Djn.avi	Program, Statwin	.avi	R_Djn.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
1e23ddb90ab7351ccf1848b063b05285a319bcd1329927603ade6e4a15d24687	1542042	2	Program/statwin/B_Kht.avi | Statwin/B_Kht.avi	Program, Statwin	.avi	B_Kht.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
90ee638c65bdfca63f5a245dab382bc678ddda648fbe2c26d5c4c10eb15994aa	1527706	2	Program/statwin/R_Amg.avi | Statwin/R_Amg.avi	Program, Statwin	.avi	R_Amg.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
a7a7bb84edfe81858c6166f079c22adb42d0887a928231b377535c7db0738608	1525658	2	Program/statwin/R_Mwz.avi | Statwin/R_Mwz.avi	Program, Statwin	.avi	R_Mwz.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
e80e72ff025653dc965170e34f8062c4c57f36cc11829ed12e300adb330d935d	1511290	2	Program/statwin/M_Cen2.avi | Statwin/M_Cen2.avi	Program, Statwin	.avi	M_Cen2.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
233b2e66bb4117960e482b8c3b2b68a5a4be94b3ea3022a1de40b21d63d048da	1496970	2	Program/statwin/B_Lrd.avi | Statwin/B_Lrd.avi	Program, Statwin	.avi	B_Lrd.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
a97f7c59946d42d0fc602ddbcbed20cf723dafce4ba18abdee11632debd4c8df	1453962	2	Program/statwin/Dg_Wug.avi | Statwin/Dg_Wug.avi	Program, Statwin	.avi	Dg_Wug.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
4c287d9ef43cd2f93a332266f85cd0918dd70262cc44dc298ee0f5806337bdd7	1441690	2	Program/statwin/G_Amg.avi | Statwin/G_Amg.avi	Program, Statwin	.avi	G_Amg.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
5316292446aea2f783b4bc9f17acb70294a44e031475fa0398226c4d04f6adc7	1440056	2	Mods/Art/_undo/2016_02_12_12_15_32/Exp1Art/WinBk_FoilPackScreen16.bmp | Program/Exp1Art/WinBk_FoilPackScreen16.bmp	Mods, Program	.bmp	WinBk_FoilPackScreen16.bmp	protected-runtime-dir, runtime-extension, undo-tree	needs-human-policy	Under _undo rollback/staging tree; launcher defines undo folders, so removal needs rollback policy proof.
5b20a240b38c1e190435bd2d62d1515799be9168655f3a5ce2450669e9b7f1f1	1440056	2	Mods/Art/_undo/2016_02_12_12_15_32/Exp1Art/WinBk_Ladder16.bmp | Program/Exp1Art/WinBk_Ladder16.bmp	Mods, Program	.bmp	WinBk_Ladder16.bmp	protected-runtime-dir, runtime-extension, undo-tree	needs-human-policy	Under _undo rollback/staging tree; launcher defines undo folders, so removal needs rollback policy proof.
127efe5e2937e42b01929bb495198d70d59f4843999a2479cb2e91ff8fc78197	1440056	2	Mods/Art/_undo/2016_02_12_12_15_32/ShellArt/WinBk_ShellScreen16.bmp | Program/ShellArt/WinBk_ShellScreen16.bmp	Mods, Program	.bmp	WinBk_ShellScreen16.bmp	protected-runtime-dir, runtime-extension, undo-tree	needs-human-policy	Under _undo rollback/staging tree; launcher defines undo folders, so removal needs rollback policy proof.
0aab7abc3d073106d0ecccb8291ebab9013fd311c367d8944219d8db3cd992f6	1433482	2	Program/statwin/U_Fwz.avi | Statwin/U_Fwz.avi	Program, Statwin	.avi	U_Fwz.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
c543aa773b1161c7427d0c88c3e76b291f2e9752a79a3808f692e891d5a62690	1415066	2	Program/statwin/G_Djn.avi | Statwin/G_Djn.avi	Program, Statwin	.avi	G_Djn.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
130283ec62909635d1d5a86e2688fa0af83362e0770ac1981bac4e3001ab4056	1413018	2	Program/statwin/G_Wrm.avi | Statwin/G_Wrm.avi	Program, Statwin	.avi	G_Wrm.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
16aae92e019257a1dad90e5d4d331c5fc1a9daa41e92ac0e44b46f93188b3ca2	1400714	2	Program/statwin/G_Lrd.avi | Statwin/G_Lrd.avi	Program, Statwin	.avi	G_Lrd.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
afa5c506c95fc4d7be248dbbec4df7fc54784d3541f9aaeb228e3b8c1fe3a8ff	1398666	2	Program/statwin/U_Lrd.avi | Statwin/U_Lrd.avi	Program, Statwin	.avi	U_Lrd.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
5581fe4f9be3d41ecaf185eb6850680e49b4fe6bc8fa8e4908bfed7998d8bd71	1320810	2	Program/statwin/W_Lrd.avi | Statwin/W_Lrd.avi	Program, Statwin	.avi	W_Lrd.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
2d034f30e20bbfc38e00bc683427913dfdaff0ee8a9fd4685a3784c8e7ad8487	1292170	2	Program/statwin/G_Mwz.avi | Statwin/G_Mwz.avi	Program, Statwin	.avi	G_Mwz.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
064604fa9ee4a437bc0f3b16fab4c6dcfab3ccbbb0f2e307e0e060b93c4cbb53	1239292	2	Manalink3/Mods/Sound/LocMus CircaPaleo/Sound/LocMus6.ogg | Mods/Sound/LocMus CircaPaleo/Sound/LocMus6.ogg	Manalink3, Mods	.ogg	LocMus6.ogg	runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
24d213ff8396566cd4332e100c962e0615004b0d6b63054369f824df97568cba	1209654	2	Mods/Art/_undo/2016_02_12_12_15_32/Exp1Art/PackStartersLarge.pic | Program/Exp1Art/PackStartersLarge.pic	Mods, Program	.pic	PackStartersLarge.pic	protected-runtime-dir, runtime-extension, undo-tree	needs-human-policy	Under _undo rollback/staging tree; launcher defines undo folders, so removal needs rollback policy proof.
