enemy_number	enemy_name	color	active_deck_id	candidate_source	candidate_path	candidate_title	main_cards	all_cards	unique_main_cards	variant_sections	sha256	relation	warnings
2	Undead Knight	black	0016	active-program	Program/decks/0016.dck	Undead Knight (Bl, Type 1)	60	60	15	0	98306e382078d045332b406417ce0e8975d413a36615336d98b932a833c13acc	current Program deck	none
2	Undead Knight	black	0016	variant-harder	Decks - Harder/0016.dck	Undead Knight (Bl, 4th Edition)	60	60	15	0	e933e1db316aedea4c72b2fe9d839119488cb1bfb73cba5621a404d72e41b51f	same-id variant candidate	none
2	Undead Knight	black	0016	variant-new-original	decks - new original/0016.dck	Undead Knight (Bl, Type 1)	60	60	15	0	98306e382078d045332b406417ce0e8975d413a36615336d98b932a833c13acc	same-id variant duplicate of active root	none
2	Undead Knight	black	0016	variant-original-spaced	Decks - Original/0016.dck	Undead Knight (Bl, 4th Edition)	57	75	15	6	7eb1b88e1a679bfa9f7b0ca5080c3f20b71b0ad064e82dab1af0b933af2ed53a	same-id variant candidate	6 variant section(s)
2	Undead Knight	black	0016	variant-original-underscore	Decks_original/0016.dck	Undead Knight (Bl, 4th Edition)	57	75	15	6	7eb1b88e1a679bfa9f7b0ca5080c3f20b71b0ad064e82dab1af0b933af2ed53a	same-id variant candidate	6 variant section(s)
2	Undead Knight	black	0016	variant-alt	Decks_alt/0016.dck	Undead Knight (Bl, 4th Edition)	60	60	12	0	95715c359979351c84a2f4d8ad65d59b873b594d21ebbfb79bd796bae11ab10a	same-id variant candidate	none
2	Undead Knight	black	0016	variant-revision	Decks - revision/0016.dck	Undead Knight (Bl, 4th Edition)	117	135	27	6	d0446426e329ba9452047e68d1f6696764d9f8c54f1a785d43d4ff24275de92a	same-id variant candidate	6 variant section(s)
2	Undead Knight	black	0016	variant-tim	Decks - Tim/0016.dck	Undead Knight (Bl, 4th Edition)	117	135	27	6	d0446426e329ba9452047e68d1f6696764d9f8c54f1a785d43d4ff24275de92a	same-id variant candidate	6 variant section(s)
2	Undead Knight	black	0016	variant-rawky	decks - rawky/0016.dck	Undead Knight (Bl, Type 1)	61	76	33	6	a16bde28d2067e34abfc78841dee28ba5dd9e44ea2feda0c88a47306cb352771	same-id variant candidate	6 variant section(s)
3	Warlock	black	0055	active-root	decks/0055.dck	Warlock (Bl, Type 1)	60	75	24	6	df3a18c37430f7f3e3d4473631a039e9922ce9461c02394576034cdc58464789	current root deck	6 variant section(s)
3	Warlock	black	0055	active-program	Program/decks/0055.dck	Warlock (Bl, Type 1)	64	64	12	0	a3ae002b41e67c80e64a750d83435a31c314aa732b5e9e500a81296d6b752ee7	current Program deck	none
3	Warlock	black	0055	variant-harder	Decks - Harder/0055.dck	Warlock (B, 4th)	60	60	11	0	67c0444b5076ad3d841c077c247e6bc572c36a4f31040920d97863b4f3227fbf	same-id variant candidate	none
3	Warlock	black	0055	variant-new-original	decks - new original/0055.dck	Warlock (Bl, Type 1)	64	64	12	0	a3ae002b41e67c80e64a750d83435a31c314aa732b5e9e500a81296d6b752ee7	same-id variant candidate	none
3	Warlock	black	0055	variant-original-spaced	Decks - Original/0055.dck	Warlock (B, 4th)	57	75	10	6	cb3e95f221702ddef0f0de52f523dd9661fe1405cefe14d0bd907ac06ce01200	same-id variant candidate	6 variant section(s)
3	Warlock	black	0055	variant-original-underscore	Decks_original/0055.dck	Warlock (B, 4th)	57	75	10	6	cb3e95f221702ddef0f0de52f523dd9661fe1405cefe14d0bd907ac06ce01200	same-id variant candidate	6 variant section(s)
3	Warlock	black	0055	variant-alt	Decks_alt/0055.dck	Warlock (B, 4th)	60	60	12	0	f354a626b1599ca4d3ee28f9d34d3c2a3007f08b7c93cbf95eec996079683fba	same-id variant candidate	none
3	Warlock	black	0055	variant-revision	Decks - revision/0055.dck	Warlock (B, 4th)	117	135	22	6	73825be52197adde0177da7d4fc387cb64038e0c0be48888ce9bcb09c7f7e77b	same-id variant candidate	6 variant section(s)
3	Warlock	black	0055	variant-tim	Decks - Tim/0055.dck	Warlock (B, 4th)	117	135	22	6	73825be52197adde0177da7d4fc387cb64038e0c0be48888ce9bcb09c7f7e77b	same-id variant candidate	6 variant section(s)
3	Warlock	black	0055	variant-rawky	decks - rawky/0055.dck	Warlock (Bl, Type 1)	60	75	24	6	df3a18c37430f7f3e3d4473631a039e9922ce9461c02394576034cdc58464789	same-id variant duplicate of active root	6 variant section(s)
4	VampireLord	black	0220	active-root	decks/0220.dck	Vampire Lord (Bl, Type 1)	60	75	22	6	1d5d538d18d896b6146a5f99ab6b2b25ce391ea12ba4297749dc92723014b9cf	current root deck	6 variant section(s)
4	VampireLord	black	0220	active-program	Program/decks/0220.dck	Vampire Lord (Bl, Type 1)	62	62	13	0	3d36c0891ceb8499a3f831ed9c8cc9063fe6caffd031b86de7f95830d105cfa6	current Program deck	none
4	VampireLord	black	0220	variant-harder	Decks - Harder/0220.dck	Vampire Lord (B, 4th)	60	60	18	0	d9693f0b00b79984f83f138507f3c0c92721bfb1a2bcbbedce0f3504182b89dc	same-id variant candidate	none
4	VampireLord	black	0220	variant-new-original	decks - new original/0220.dck	Vampire Lord (Bl, Type 1)	62	62	13	0	3d36c0891ceb8499a3f831ed9c8cc9063fe6caffd031b86de7f95830d105cfa6	same-id variant candidate	none
4	VampireLord	black	0220	variant-original-spaced	Decks - Original/0220.dck	Vampire Lord (B, 4th)	57	75	11	6	bfd328d8730cd0f3f6a3e4af4120445d900d9c1a6023b3cf38f993d9c49f927b	same-id variant candidate	6 variant section(s)
4	VampireLord	black	0220	variant-original-underscore	Decks_original/0220.dck	Vampire Lord (B, 4th)	57	75	11	6	bfd328d8730cd0f3f6a3e4af4120445d900d9c1a6023b3cf38f993d9c49f927b	same-id variant candidate	6 variant section(s)
4	VampireLord	black	0220	variant-alt	Decks_alt/0220.dck	Vampire Lord (B, 4th)	60	60	11	0	9bd3f21b531079811ee198b20ec2e8a41b855483b8612b1ef6bc4079e17134cb	same-id variant candidate	none
4	VampireLord	black	0220	variant-revision	Decks - revision/0220.dck	Vampire Lord (B, 4th)	117	135	22	6	66169d27f72f1d1b6c7df928164656f8dd070377b9cf338c6bce24f594354a72	same-id variant candidate	6 variant section(s)
4	VampireLord	black	0220	variant-tim	Decks - Tim/0220.dck	Vampire Lord (B, 4th)	117	135	22	6	66169d27f72f1d1b6c7df928164656f8dd070377b9cf338c6bce24f594354a72	same-id variant candidate	6 variant section(s)
4	VampireLord	black	0220	variant-rawky	decks - rawky/0220.dck	Vampire Lord (Bl, Type 1)	60	75	22	6	1d5d538d18d896b6146a5f99ab6b2b25ce391ea12ba4297749dc92723014b9cf	same-id variant duplicate of active root	6 variant section(s)
5	Nether Fiend	black	0151	active-root	decks/0151.dck	Nether Fiend (Bl, Type 1)	60	75	25	6	7a4be1d5e6dc33d57a3fa544afd56535ee264aab257388b76a130a634c85c2e4	current root deck	6 variant section(s)
5	Nether Fiend	black	0151	active-program	Program/decks/0151.dck	Nether Fiend (Bl, Type 1)	60	60	15	0	b4b00ad27715368862b2a09228d0778adbf3f709c3c299f4365f0fcfbe2586da	current Program deck	none
5	Nether Fiend	black	0151	variant-harder	Decks - Harder/0151.dck	Nether Fiend (B, 4th)	60	60	13	0	2bfd7a2d8941f50c6bc160f51a238732a51f74617092192ffd6960ffebbdeebd	same-id variant candidate	none
5	Nether Fiend	black	0151	variant-new-original	decks - new original/0151.dck	Nether Fiend (Bl, Type 1)	60	60	15	0	b4b00ad27715368862b2a09228d0778adbf3f709c3c299f4365f0fcfbe2586da	same-id variant candidate	none
5	Nether Fiend	black	0151	variant-original-spaced	Decks - Original/0151.dck	Nether Fiend (B, 4th)	58	76	13	6	2236fe03b489c39faba0a1725b0c97c7406cbd9429661fd8679d3108426f2074	same-id variant candidate	6 variant section(s)
5	Nether Fiend	black	0151	variant-original-underscore	Decks_original/0151.dck	Nether Fiend (B, 4th)	58	76	13	6	2236fe03b489c39faba0a1725b0c97c7406cbd9429661fd8679d3108426f2074	same-id variant candidate	6 variant section(s)
5	Nether Fiend	black	0151	variant-alt	Decks_alt/0151.dck	Nether Fiend (B, 4th)	60	60	11	0	8b62a72234c8ce9074e9d85381497d794b232429428ca0fa374609d7232daad1	same-id variant candidate	none
5	Nether Fiend	black	0151	variant-revision	Decks - revision/0151.dck	Nether Fiend (B, 4th)	118	136	24	6	5cc984b23a316a726705e4b2097a2abd4004ce22512fd8009cf2f6801de33862	same-id variant candidate	6 variant section(s)
5	Nether Fiend	black	0151	variant-tim	Decks - Tim/0151.dck	Nether Fiend (B, 4th)	118	136	24	6	5cc984b23a316a726705e4b2097a2abd4004ce22512fd8009cf2f6801de33862	same-id variant candidate	6 variant section(s)
5	Nether Fiend	black	0151	variant-rawky	decks - rawky/0151.dck	Nether Fiend (Bl, Type 1)	60	75	25	6	7a4be1d5e6dc33d57a3fa544afd56535ee264aab257388b76a130a634c85c2e4	same-id variant duplicate of active root	6 variant section(s)
6	Necromancer	black	0291	active-root	decks/0291.dck	Necromancer (Bl, Type 1)	60	60	14	0	be7a7fa54b5c1267126d8536ed89e7cb6271d64a35556d83ba35b134b4639419	current root deck	none
6	Necromancer	black	0291	active-program	Program/decks/0291.dck	Necromancer (Bl, Type 1)	60	60	12	0	bd146a74188d4f5964fd312ccb436a24a89ff8cb4e0022d0507c3ebf8e78a069	current Program deck	none
6	Necromancer	black	0291	variant-harder	Decks - Harder/0291.dck	Necromancer (Bl, 4th)	60	60	17	0	cd8119b71b42b3085e1986c067a986a6cc54e71ba723570392e735a15b0d06f4	same-id variant candidate	none
6	Necromancer	black	0291	variant-new-original	decks - new original/0291.dck	Necromancer (Bl, Type 1)	60	60	12	0	bd146a74188d4f5964fd312ccb436a24a89ff8cb4e0022d0507c3ebf8e78a069	same-id variant candidate	none
6	Necromancer	black	0291	variant-original-spaced	Decks - Original/0291.dck	Necromancer (Bl, 4th)	57	75	15	6	be79ec45356bfe0fbd9206c599d9d65d195e596521de08128e045e020fb9b435	same-id variant candidate	6 variant section(s)
6	Necromancer	black	0291	variant-original-underscore	Decks_original/0291.dck	Necromancer (Bl, 4th)	57	75	15	6	be79ec45356bfe0fbd9206c599d9d65d195e596521de08128e045e020fb9b435	same-id variant candidate	6 variant section(s)
6	Necromancer	black	0291	variant-alt	Decks_alt/0291.dck	Necromancer (Bl, 4th)	60	60	13	0	5cb4dadcef3b54a35b30f2a03ffcb4ffe79aee16a1062817df213f76a03c343b	same-id variant candidate	none
6	Necromancer	black	0291	variant-revision	Decks - revision/0291.dck	Necromancer (Bl, 4th)	117	135	28	6	fc4fd69feddab41e6c619921f4f7c230f70fd9edfb9afaaaf4c6e9a82f2cdfbd	same-id variant candidate	6 variant section(s)
6	Necromancer	black	0291	variant-tim	Decks - Tim/0291.dck	Necromancer (Bl, 4th)	117	135	28	6	fc4fd69feddab41e6c619921f4f7c230f70fd9edfb9afaaaf4c6e9a82f2cdfbd	same-id variant candidate	6 variant section(s)
6	Necromancer	black	0291	variant-rawky	decks - rawky/0291.dck	Necromancer (Bl, Type 1)	60	60	14	0	be7a7fa54b5c1267126d8536ed89e7cb6271d64a35556d83ba35b134b4639419	same-id variant duplicate of active root	none
7	Greater Lich	black	0141	active-root	decks/0141.dck	Azaar - Lichlord (Bl, Type 1)	60	60	26	0	36c896dcbb7fb11abc5e821b4fc03f750a80d276f807758e7d8764ec0d33ab54	current root deck	none
7	Greater Lich	black	0141	active-program	Program/decks/0141.dck	Azaar - Lichlord (Bl, Type 1)	62	62	15	0	777e4112a8e3a0d78047f61af647b2e6766a16ba2ed91f2a4183dbe07a39bf1f	current Program deck	none
7	Greater Lich	black	0141	variant-harder	Decks - Harder/0141.dck	Azaar - Lichlord (B, 4th)	60	60	18	0	a01db2bf8b58ffeee63bb5377b4745bec5ce60029e6da462aca4743cc6911dc7	same-id variant candidate	none
7	Greater Lich	black	0141	variant-new-original	decks - new original/0141.dck	Azaar - Lichlord (Bl, Type 1)	62	62	15	0	777e4112a8e3a0d78047f61af647b2e6766a16ba2ed91f2a4183dbe07a39bf1f	same-id variant candidate	none
7	Greater Lich	black	0141	variant-original-spaced	Decks - Original/0141.dck	Azaar - Lichlord (B, 4th)	61	61	17	0	6a7d6a6a52309224996edd8978dc73b68437fdee200d87a9d0e9b2d820823aaf	same-id variant candidate	none
7	Greater Lich	black	0141	variant-original-underscore	Decks_original/0141.dck	Azaar - Lichlord (B, 4th)	61	61	17	0	6a7d6a6a52309224996edd8978dc73b68437fdee200d87a9d0e9b2d820823aaf	same-id variant candidate	none
7	Greater Lich	black	0141	variant-alt	Decks_alt/0141.dck	Azaar - Lichlord (B, 4th)	60	60	14	0	f60ba9e28443eab7d0382347848f9f85f5d3e97a5fd6b758b38db89a0dd5fecd	same-id variant candidate	none
7	Greater Lich	black	0141	variant-revision	Decks - revision/0141.dck	Azaar - Lichlord (B, 4th)	121	121	31	0	2c3f958990fce89275e6e2f5b2b4a111a6c74e96e6a90119216a5a407b32ea80	same-id variant candidate	none
7	Greater Lich	black	0141	variant-tim	Decks - Tim/0141.dck	Azaar - Lichlord (B, 4th)	121	121	31	0	2c3f958990fce89275e6e2f5b2b4a111a6c74e96e6a90119216a5a407b32ea80	same-id variant candidate	none
7	Greater Lich	black	0141	variant-rawky	decks - rawky/0141.dck	Azaar - Lichlord (Bl, Type 1)	60	60	26	0	36c896dcbb7fb11abc5e821b4fc03f750a80d276f807758e7d8764ec0d33ab54	same-id variant duplicate of active root	none
8	Cleric	white	0211	active-root	decks/0211.dck	Cleric (Wh, Type 1)	60	60	46	0	526f8e35916215508728a66cb39a52074d4669ec4c2dcf224bfb30f0880a2d35	current root deck	none
8	Cleric	white	0211	active-program	Program/decks/0211.dck	Cleric (Wh, Type 1)	60	60	13	0	b47f42d142de069dd40451ef3e9b7b40cfefacf2fab0e6cc8099c4b9ccbe29f4	current Program deck	none
8	Cleric	white	0211	variant-harder	Decks - Harder/0211.dck	Cleric (W, 4th)	60	60	20	0	5d4519a29ce6c484904d133ffd15fa69b8b6aa5c6d6995eabc9c5fee1b9b1906	same-id variant candidate	none
8	Cleric	white	0211	variant-new-original	decks - new original/0211.dck	Cleric (Wh, Type 1)	60	60	13	0	b47f42d142de069dd40451ef3e9b7b40cfefacf2fab0e6cc8099c4b9ccbe29f4	same-id variant candidate	none
8	Cleric	white	0211	variant-original-spaced	Decks - Original/0211.dck	Cleric (W, 4th)	57	75	13	6	ac65cfafb6bfee14a0e14e900a3e1361126af3ec6ae43a39d1f642413defb49f	same-id variant candidate	6 variant section(s)
8	Cleric	white	0211	variant-original-underscore	Decks_original/0211.dck	Cleric (W, 4th)	57	75	13	6	ac65cfafb6bfee14a0e14e900a3e1361126af3ec6ae43a39d1f642413defb49f	same-id variant candidate	6 variant section(s)
8	Cleric	white	0211	variant-alt	Decks_alt/0211.dck	Cleric (W, 4th)	60	60	14	0	1b63b4e0172f36b4f332a0188efaaf3a8609a37d9fcd845008a10290bccc0b2e	same-id variant candidate	none
8	Cleric	white	0211	variant-revision	Decks - revision/0211.dck	Cleric (W, 4th)	117	135	27	6	e9570b493c20adefb469ec88b899149246602a7588ba7fc0ea19913d9d5aa47d	same-id variant candidate	6 variant section(s)
8	Cleric	white	0211	variant-tim	Decks - Tim/0211.dck	Cleric (W, 4th)	117	135	27	6	e9570b493c20adefb469ec88b899149246602a7588ba7fc0ea19913d9d5aa47d	same-id variant candidate	6 variant section(s)
8	Cleric	white	0211	variant-rawky	decks - rawky/0211.dck	Cleric (Wh, Type 1)	60	60	46	0	526f8e35916215508728a66cb39a52074d4669ec4c2dcf224bfb30f0880a2d35	same-id variant duplicate of active root	none
9	Priestess	white	0204	active-root	decks/0204.dck	Priestess (Wh, Type 1)	60	75	33	6	2605c7ddb86d752a602730131e5f16d302e738afac4e64d48e48c78c36b7cc68	current root deck	6 variant section(s)
9	Priestess	white	0204	active-program	Program/decks/0204.dck	Priestess (Wh, Type 1)	60	60	11	0	af6f7b532feabc78af4c1bf31cadf42a6140341fc9d504c21846ce788c43c17b	current Program deck	none
9	Priestess	white	0204	variant-harder	Decks - Harder/0204.dck	Priestess (W, 4th)	60	60	13	0	ca608fa3320d97e67cedfdf427deff4e8abed8e7bfce426586b4f086a85df1cf	same-id variant candidate	none
9	Priestess	white	0204	variant-new-original	decks - new original/0204.dck	Priestess (Wh, Type 1)	60	60	11	0	af6f7b532feabc78af4c1bf31cadf42a6140341fc9d504c21846ce788c43c17b	same-id variant candidate	none
9	Priestess	white	0204	variant-original-spaced	Decks - Original/0204.dck	Priestess (W, 4th)	60	78	15	6	87b8a6a13670e563bb048b20f5679ca6201444771c5501d443f3141f6f0c9432	same-id variant candidate	6 variant section(s)
9	Priestess	white	0204	variant-original-underscore	Decks_original/0204.dck	Priestess (W, 4th)	60	78	15	6	87b8a6a13670e563bb048b20f5679ca6201444771c5501d443f3141f6f0c9432	same-id variant candidate	6 variant section(s)
9	Priestess	white	0204	variant-alt	Decks_alt/0204.dck	Priestess (W, 4th)	60	60	13	0	00e9419f4aa18ff71122d884733202dc7302c2fe3aa0fcef7baa2ff106fa49a2	same-id variant candidate	none
9	Priestess	white	0204	variant-revision	Decks - revision/0204.dck	Priestess (W, 4th)	120	138	28	6	a1a3d5e954cca7cf0580fc3197a359c02541bfde4f175fa73187500076f5e208	same-id variant candidate	6 variant section(s)
9	Priestess	white	0204	variant-tim	Decks - Tim/0204.dck	Priestess (W, 4th)	120	138	28	6	a1a3d5e954cca7cf0580fc3197a359c02541bfde4f175fa73187500076f5e208	same-id variant candidate	6 variant section(s)
9	Priestess	white	0204	variant-rawky	decks - rawky/0204.dck	Priestess (Wh, Type 1)	60	75	33	6	2605c7ddb86d752a602730131e5f16d302e738afac4e64d48e48c78c36b7cc68	same-id variant duplicate of active root	6 variant section(s)
10	Crusader	white	0283	active-root	decks/0283.dck	Crusader (Wh, Type 1)	60	60	13	0	6bbd4cb017f73c35dd476eaeb22d9d1cf281ababf80cfe4d16530298cd2dacf3	current root deck	none
10	Crusader	white	0283	active-program	Program/decks/0283.dck	Crusader (Wh, Type 1)	60	60	13	0	6bbd4cb017f73c35dd476eaeb22d9d1cf281ababf80cfe4d16530298cd2dacf3	current Program deck	none
10	Crusader	white	0283	variant-harder	Decks - Harder/0283.dck	Crusader (Wh, 4th)	60	60	18	0	3c5801e976b6f757e733766f8a413687d40f95846a4e62c7ebe4a82e42c46462	same-id variant candidate	none
10	Crusader	white	0283	variant-new-original	decks - new original/0283.dck	Crusader (Wh, Type 1)	60	60	13	0	6bbd4cb017f73c35dd476eaeb22d9d1cf281ababf80cfe4d16530298cd2dacf3	same-id variant duplicate of active root	none
10	Crusader	white	0283	variant-original-spaced	Decks - Original/0283.dck	Crusader (Wh, 4th)	59	77	13	6	4a2506e51ee5f2f197b8eb610548e9319150e387ba296a7d40305cd7a20f2eb0	same-id variant candidate	6 variant section(s)
10	Crusader	white	0283	variant-original-underscore	Decks_original/0283.dck	Crusader (Wh, 4th)	59	77	13	6	4a2506e51ee5f2f197b8eb610548e9319150e387ba296a7d40305cd7a20f2eb0	same-id variant candidate	6 variant section(s)
10	Crusader	white	0283	variant-alt	Decks_alt/0283.dck	Crusader (Wh, 4th)	60	60	14	0	1384916476c5c5afb214f1921a3e8dffc150405ce7616882e91e58e7c237de6e	same-id variant candidate	none
10	Crusader	white	0283	variant-revision	Decks - revision/0283.dck	Crusader (Wh, 4th)	119	137	27	6	4d003b056741ba7a4f9ca8c160a9e446098a49093961a8a5a4748d81f807c15f	same-id variant candidate	6 variant section(s)
10	Crusader	white	0283	variant-tim	Decks - Tim/0283.dck	Crusader (Wh, 4th)	119	137	27	6	4d003b056741ba7a4f9ca8c160a9e446098a49093961a8a5a4748d81f807c15f	same-id variant candidate	6 variant section(s)
10	Crusader	white	0283	variant-rawky	decks - rawky/0283.dck	Crusader (Wh, Type 1)	60	75	23	6	92e97b2290b9a59b2e10e38827db0305acbb578fbe89f22059b6a058b878edce	same-id variant candidate	6 variant section(s)
11	Paladin	white	0175	active-root	decks/0175.dck	Paladin (Wh, Type 1)	57	72	28	6	1eab774c88e7d6352080be4d01127a0685bb58da1d8133c5b9bacf1e4cb3e0be	current root deck	6 variant section(s)
11	Paladin	white	0175	active-program	Program/decks/0175.dck	Paladin (Wh, Type 1)	60	60	14	0	0a4f91a58404c480e0a7ad64d69509f6838368c0dce3a0574102d632dd59b774	current Program deck	none
11	Paladin	white	0175	variant-harder	Decks - Harder/0175.dck	Paladin (W, 4th)	60	60	23	0	2989d95d2711b62843d46629628429729533b878f26b8157a10e954fb42c008d	same-id variant candidate	none
11	Paladin	white	0175	variant-new-original	decks - new original/0175.dck	Paladin (Wh, Type 1)	60	60	14	0	0a4f91a58404c480e0a7ad64d69509f6838368c0dce3a0574102d632dd59b774	same-id variant candidate	none
11	Paladin	white	0175	variant-original-spaced	Decks - Original/0175.dck	Paladin (W, 4th)	57	75	15	6	6699749b40e7fe6bb36a60f5dbc3b656dad5039fbad1ccc234b6fcc3316daac5	same-id variant candidate	6 variant section(s)
11	Paladin	white	0175	variant-original-underscore	Decks_original/0175.dck	Paladin (W, 4th)	57	75	15	6	6699749b40e7fe6bb36a60f5dbc3b656dad5039fbad1ccc234b6fcc3316daac5	same-id variant candidate	6 variant section(s)
11	Paladin	white	0175	variant-alt	Decks_alt/0175.dck	Paladin (W, 4th)	60	60	13	0	54a6a3f57113575b5482a901583f2c0c621605a330961cd2d2c3b9152e51b72d	same-id variant candidate	none
11	Paladin	white	0175	variant-revision	Decks - revision/0175.dck	Paladin (W, 4th)	117	135	28	6	51b1966aa8e91544daab2f0e503b6268695bfaf9eadcde4af3b41a4fd770909b	same-id variant candidate	6 variant section(s)
11	Paladin	white	0175	variant-tim	Decks - Tim/0175.dck	Paladin (W, 4th)	117	135	28	6	51b1966aa8e91544daab2f0e503b6268695bfaf9eadcde4af3b41a4fd770909b	same-id variant candidate	6 variant section(s)
11	Paladin	white	0175	variant-rawky	decks - rawky/0175.dck	Paladin (Wh, Type 1)	57	72	28	6	1eab774c88e7d6352080be4d01127a0685bb58da1d8133c5b9bacf1e4cb3e0be	same-id variant duplicate of active root	6 variant section(s)
12	Arch Angel	white	0221	active-root	decks/0221.dck	Arch Angel (Wh, Type 1)	60	75	31	6	52612b55ce9ea2d41fe58e03a3a9339f7ce4639b2b7da41bb74ad63bc1e855ed	current root deck	6 variant section(s)
12	Arch Angel	white	0221	active-program	Program/decks/0221.dck	Arch Angel (Wh, Type 1)	60	60	14	0	68ddcf1335848ce547d680afc9145f2e64d68ce5c14cace0c63c331089bb8d27	current Program deck	none
12	Arch Angel	white	0221	variant-harder	Decks - Harder/0221.dck	Arch Angel (Wh, 4th)	60	60	22	0	3887af574897c3e371151877c27a1a9167da1c2ef4dfb5e38f41409c8cbec096	same-id variant candidate	none
12	Arch Angel	white	0221	variant-new-original	decks - new original/0221.dck	Arch Angel (Wh, Type 1)	60	60	14	0	68ddcf1335848ce547d680afc9145f2e64d68ce5c14cace0c63c331089bb8d27	same-id variant candidate	none
12	Arch Angel	white	0221	variant-original-spaced	Decks - Original/0221.dck	Arch Angel (Wh, 4th)	57	75	11	6	12cc035fd7bb6f963ae5f491dd1046cb0b8aebf6f9495c6887ef26698e0e9a8e	same-id variant candidate	6 variant section(s)
12	Arch Angel	white	0221	variant-original-underscore	Decks_original/0221.dck	Arch Angel (Wh, 4th)	57	75	11	6	12cc035fd7bb6f963ae5f491dd1046cb0b8aebf6f9495c6887ef26698e0e9a8e	same-id variant candidate	6 variant section(s)
12	Arch Angel	white	0221	variant-alt	Decks_alt/0221.dck	Arch Angel (Wh, 4th)	56	80	12	6	82153d95594217d9241d6eaa23386ca99440666eb6b0ea73ad89cff3c9904979	same-id variant candidate	6 variant section(s)
12	Arch Angel	white	0221	variant-revision	Decks - revision/0221.dck	Arch Angel (Wh, 4th)	113	131	23	6	d7b08eb49e2bcb6133f321696dcad87c4e53f24b008f24730dc75db6a953f14f	same-id variant candidate	6 variant section(s)
12	Arch Angel	white	0221	variant-tim	Decks - Tim/0221.dck	Arch Angel (Wh, 4th)	113	131	23	6	d7b08eb49e2bcb6133f321696dcad87c4e53f24b008f24730dc75db6a953f14f	same-id variant candidate	6 variant section(s)
12	Arch Angel	white	0221	variant-rawky	decks - rawky/0221.dck	Arch Angel (Wh, Type 1)	60	75	31	6	52612b55ce9ea2d41fe58e03a3a9339f7ce4639b2b7da41bb74ad63bc1e855ed	same-id variant duplicate of active root	6 variant section(s)
13	High Priest	white	0203	active-root	decks/0203.dck	High Priest (Wh, Type 1)	60	60	28	0	f86f6935f025b4a51a6261eeeb9b99705fac5404db944cd06b108494a8cddbe5	current root deck	none
13	High Priest	white	0203	active-program	Program/decks/0203.dck	High Priest (Wh, Type 1)	60	60	12	0	288b3c224fa92ea211ff521b34a8a4fbc432d727997e23fc618b8faddf49046c	current Program deck	none
13	High Priest	white	0203	variant-harder	Decks - Harder/0203.dck	High Priest (W, 4th)	60	60	19	0	a369abc047f22c0731f6a0d446b31103e3fe85ad78d7d037897462271c8c2e57	same-id variant candidate	none
13	High Priest	white	0203	variant-new-original	decks - new original/0203.dck	High Priest (Wh, Type 1)	60	60	12	0	288b3c224fa92ea211ff521b34a8a4fbc432d727997e23fc618b8faddf49046c	same-id variant candidate	none
