classification	path_to_remove	kept_path	size_bytes	sha256	evidence	confidence	verification_commands	risk_notes
needs-human-decision	<none>	Manalink3/Mods/Rogues/Classic CirothUngol Ridiculous.7z | Mods/Rogues/Classic CirothUngol Ridiculous.7z	513420	ebc90eefafaaac95655de33bee10bd8c0b22e018ebd483d93077d7c5b6d1f0e4	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
needs-human-decision	<none>	Manalink3/Mods/Rogues/Classic Microprose Default.7z | Mods/Rogues/Classic Microprose Default.7z	551248	5943267792989f2c6e91537f1fb8a11a7a91d2bc15fe559c50f2123304da7b59	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
needs-human-decision	<none>	Manalink3/Mods/Rogues/Classic Ozks Antiques.7z | Mods/Rogues/Classic Ozks Antiques.7z	2021426	aa1e81a370101234ee7e1d98484f56bdf06159cd0d4d0296842a6863c97c98d6	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
needs-human-decision	<none>	Manalink3/Mods/Rogues/Classic Stassy MagicCardUsers.7z | Mods/Rogues/Classic Stassy MagicCardUsers.7z	104764	8417dac4a4a6677533c77a0183a0df1376d8d89450f35ccc282d5434fc2c5837	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
needs-human-decision	<none>	Manalink3/Mods/Rogues/Modern Ozks 16x9.7z | Mods/Rogues/Modern Ozks 16x9.7z	4655773	7b5814a4bb3159cc76ad2ffbf639d2b809faada1c686eb5e4e2beb1c36ad6cb7	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
needs-human-decision	<none>	Manalink3/Mods/Rogues/Modern Sarlack MtG.7z | Mods/Rogues/Modern Sarlack MtG.7z	5913438	71458236ae8fc41c9b5bc7e73bf4fd9d52270bac5f128b94c4481e25dfb5eaa5	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
do-not-remove-runtime	<none>	Program/Statwin duplicate families			Runtime-looking UI/video assets; docs require launch-copy testing.	high keep	largest-duplicate-groups.tsv; docs/file-inventory.md; AGENTS.md	Do not remove without runtime file-access proof.
do-not-remove-runtime	<none>	CardArtManalink/CardArtNew art duplicate families			Card art stores may be alternate lookup trees.	high keep	largest-duplicate-groups.tsv; docs/file-inventory.md; AGENTS.md	Do not remove art stores by hash alone.
do-not-remove-runtime	<none>	Root/Program executable and DLL duplicates			Root and Program are both relevant launch surfaces; root Shandalar opens root Magic in MTG, while Program Magic is Manalink target.	high keep	AGENTS.md; docs/magic-vs-shandalar-runtime.md; docs/running.md	Do not dedupe launch binaries or adjacent DLLs.
needs-smoke-test	<none>	Save/local-state files			Save and screen-name state may be fixtures or local state; cleanup needs save/load test.	medium	docs/save-state.md; docs/cleanup-move-plan.md	Needs human-visible save/load test before moving.
